Type,id,Lat,Lon,Alt,Speed/Weight,Radius,1,17
P,1,32.10333584,35.20895676,0,1,1,,
F,12,32.10285868,35.20884928,0,1,,,
F,13,32.10290536,35.20950241,0,1,,,
F,14,32.10282757,35.20921305,0,1,,,
F,15,32.10309726,35.20992405,0,1,,,
F,16,32.10336177,35.21013901,0,1,,,
F,17,32.10360035,35.21020515,0,1,,,
F,18,32.10388042,35.21014728,0,1,,,
F,19,32.10405677,35.20994059,0,1,,,
F,20,32.10427978,35.20972563,0,1,,,
F,21,32.10440426,35.20926266,0,1,,,
F,22,32.10441982,35.20860952,0,1,,,
F,23,32.10408788,35.20796466,0,1,,,
F,24,32.1043109,35.20819615,0,1,,,
F,25,32.10371964,35.20768357,0,1,,,
F,26,32.10342401,35.2077001,0,1,,,
F,27,32.10310764,35.20779931,0,1,,,
F,28,32.10290018,35.20810521,0,1,,,
